,Unnamed: 0,instNum,instName,city,s\bagrut- list of schools.xlsx,es\main list - highschool.xlsx,all_files\school - bagrut.xlsx,list from students report.xlsx,nts/all_files\schools_utm.xlsx, list from school - money.xlsx
802,802,362210.0,מרכז חסידי ויז'ניץ,בני ברק,True,True,False,True,True,True
803,803,362236.0,אורחות חיים אברהם,אשדוד,True,True,False,True,True,True
804,804,362244.0,ישיבת אחינו לצעירים,מודיעין עילית,True,True,False,True,True,True
805,805,362251.0,תורת חיים,מודיעין עילית,True,False,False,False,False,False
806,806,362475.0,ישיבת תהילת שלמה,בני ברק,True,True,False,True,True,True
807,807,362574.0,המרכז להכשרה,ירושלים,True,True,False,True,True,True
808,808,362582.0,בנות ויזניץ,בית שמש,True,True,False,True,True,True
809,809,362632.0,אהבת משה,ביתר עילית,True,True,False,True,True,True
810,810,362640.0,ישיבת דברי שלמה,מודיעין עילית,True,True,False,True,True,True
811,811,363879.0,ישיבת כנסת יצחק,מודיעין עילית,True,True,False,True,True,True
812,812,366864.0,אהלי חיים,ירושלים,True,True,False,True,True,True
813,813,366880.0,ברכת ישראל מאיר,ירושלים,True,True,False,True,True,True
814,814,366971.0,קדושת תורה,ירושלים,True,True,False,True,True,True
815,815,367748.0,תיכון פסגת אמיר,קציר,True,False,False,True,True,False
816,816,368084.0,"בי""ס ע""י אלאספניול",ירושלים,True,True,False,True,True,True
817,817,370023.0,תיכון יעדים לחינוך,כפר ביאליק,True,True,True,True,True,True
818,818,370049.0,בית הספר רעות לאמנויות,חיפה,True,True,True,True,True,True
819,819,370072.0,עמל חדרה למדעים ולאמנויות,חדרה,True,True,True,True,True,True
820,820,370080.0,"מכללה טכ' ע""ש סיטרין",בית צבי,True,True,True,True,True,True
821,821,370122.0,"מקיף ע""ש שיפמן",טירת כרמל,True,True,True,True,True,True
822,822,370155.0,ימין אורד,ניר עציון,True,True,True,True,True,True
823,823,370254.0,מקיף דתי אריאל,טירת כרמל,True,True,True,True,True,True
824,824,370262.0,תיכון טכנולוגי האופק,אור עקיבא,True,True,True,True,True,True
825,825,370304.0,אזורי דתי לבנות,פרדס חנה-כרכור,True,True,True,True,True,True
826,826,370312.0,קרית חנוך אורט,קרית ביאליק,True,True,True,True,True,True
827,827,370395.0,אורט השומרון,בנימינה-גבעת עדה,True,True,True,True,True,True
828,828,370403.0,עתיד עירוני ד,חיפה,True,True,True,True,True,True
829,829,370486.0,תיכון טכנולוגי נעמת,חדרה,True,True,True,True,True,True
830,830,370494.0,"עי""ס למדעים מועאוויה","בסמ""ה",True,True,True,True,True,True
831,831,370551.0,מעלה,ירושלים,True,True,True,True,True,True
832,832,370569.0,"מח""ט עמל פסגות נהריה",נהריה,True,True,True,True,True,True
833,833,370833.0,התיכון החברתי,קרית אתא,True,True,True,True,True,True
834,834,370882.0,ישיבת שיח תורה,מודיעין עילית,True,True,False,True,True,True
835,835,370999.0,"חט""ב דפנה",קרית ביאליק,True,True,False,False,False,False
836,836,371112.0,תיכון מראח אלגוזלאן,יפיע,True,True,True,True,True,True
837,837,372243.0,מקיף כאוכב,כאוכב אבו אל-היג'א,True,True,True,True,True,True
838,838,372896.0,רינה אתגרים חינוכיים,נצרת,True,False,False,True,True,False
839,839,372946.0,אל-אמל,משהד,True,True,True,True,True,True
840,840,372953.0,מעיינות בית רבקה,ביתר עילית,True,True,True,True,True,True
841,841,373142.0,עטרת רחל,טבריה,True,True,True,True,True,True
842,842,373167.0,תורת חיים,ירושלים,True,True,False,True,True,True
843,843,373183.0,סמינר כלל חסידי,ביתר עילית,True,True,False,True,True,True
844,844,373209.0,קול אריה,ירושלים,True,True,False,True,True,True
845,845,373357.0,כנפי יונה,צפת,True,True,True,True,True,True
846,846,374199.0,"ע""ס טכנולוגי",ג'סר א-זרקא,True,True,False,True,True,True
847,847,374249.0,תיכון ממד זכרון יעקב,זכרון יעקב,True,True,True,True,True,True
848,848,374751.0,"בי""ס אלראזי",פוריידיס,True,False,False,True,True,False
849,849,378018.0,תיכון עש אחמד ע.יחיא,כפר קרע,True,True,True,True,True,True
850,850,378026.0,"חט""ב עוספיא",עספיא,True,False,False,False,False,False
851,851,378042.0,תיכון טכנולגי נעמת,כפר קרע,True,True,True,True,True,True
852,852,378075.0,מקיף שיזף אלמותנבי,חיפה,True,True,True,True,True,True
853,853,378117.0,הפטריארכה הלטינית,ראמה,True,True,True,True,True,True
854,854,378125.0,אליתים אלערבי,ירושלים,True,True,False,True,True,True
855,855,380022.0,מקיף שפיה,מאיר שפיה,True,True,True,True,True,True
856,856,380030.0,חקלאי פרדס-חנה,פרדס חנה-כרכור,True,True,True,True,True,True
857,857,380048.0,כפר הנוער הדתי,כפר הנוער הדתי,True,True,True,True,True,True
858,858,380055.0,כפר גלים,כפר גלים,True,True,True,True,True,True
859,859,384008.0,עתיד קרית מוצקין,קרית מוצקין,True,True,True,True,True,True
860,860,384016.0,תיכון עיוני עתיד,כפר קרע,True,True,True,True,True,True
