school,city,per student
718965,בקעת הירדן,43027.93931
431254,רמלה,42850.01124
170175,ירושלים,42816.03938
240630,גולן,42795.83449
420273,אלעד,42657.58836
338038,ירושלים,42604.98469
338418,בית שמש,42459.15552
177287,ירושלים,42456.43004
144196,ביתר עילית,42375.24481
340273,חדרה,42272.42355
120477,ירושלים,42268.67553
142174,אפרתה,42172.24371
442657,ירושלים,42145.15309
270033,עכו,42115.0373
244103,כרמיאל,41992.39404
670562,קרית מלאכי,41854.41213
520601,רמת גן,41691.27858
541367,בני ברק,41686.79956
729285,קרית גת,41547.48728
441220,שומרון,41475.86095
570945,חולון,41429.31801
142265,הר חברון,41357.55885
660092,אשקלון,41306.1899
270470,בית שאן,41214.30773
522482,ירושלים,41142.73408
420372,עמק חפר,41094.3935
770784,חצור הגלילית,41088.86872
460097,אפרתה,41023.90446
160549,מעלה אדומים,41005.60682
725580,ירושלים,40949.48088
713594,עמק המעיינות,40913.88874
519108,רמלה,40889.96533
260133,עמק המעיינות,40855.93546
226670,בית שמש,40831.28137
680108,שדות נגב עזתה,40689.12852
338830,אלעד,40506.07787
144758,ירושלים,40491.81576
718189,רמת נגב,40482.91455
541979,אור יהודה,40435.81088
370551,ירושלים,40232.92677
519124,דימונה,40227.70994
860353,גולן,40125.13366
444034,חוף השרון,40037.43991
570705,תל אביב-יפו,39960.0708
620096,אשדוד,39942.40824
470146,עמק חפר,39850.33872
160598,ירושלים,39842.14021
640136,אשדוד,39834.47322
120105,ירושלים,39804.1173
247320,אום אל-פחם,39745.59269
575001,שפרעם,39716.16959
640102,אופקים,39715.63927
660175,אילת,39714.71453
420976,חוף השרון,39706.07778
611483,תל אביב-יפו,39581.70764
420497,יפיע,39375.45733
640623,קרית גת,39300.57227
641118,באר שבע,39244.02978
370833,קרית אתא,39191.63708
615773,אופקים,39147.9228
240051,עפולה,39067.2473
240218,קרית שמונה,39046.02959
240457,גולן,39045.7713
140251,מבשרת ציון,38984.94236
729293,ערד,38936.77967
349928,כפר ורדים,38931.88903
718056,ירושלים,38837.81731
620146,שפיר,38820.75126
520155,ביתר עילית,38646.13041
430272,פתח תקוה,38641.5819
644781,נתיבות,38596.72704
370254,טירת כרמל,38566.66637
470542,ראשון לציון,38532.50999
670331,אשדוד,38466.43246
140525,ירושלים,38285.1046
470849,רחובות,38249.77102
440594,מודיעין מכבים רעות,38122.77039
141499,ירושלים,38056.5746
470377,יבנה,37958.09078
430629,רחובות,37921.81474
240499,קצרין,37697.35013
580027,מקווה ישראל,37683.8518
670208,אילת,37611.3431
570069,תל אביב-יפו,37600.16717
370403,חיפה,37538.67586
360149,מנשה,37467.29935
340042,קרית ים,37414.02499
640474,אשדוד,37380.07715
770727,ירושלים,37195.33523
140202,בית שמש,37141.75288
741033,הערבה התיכונה,37085.65261
384008,קרית מוצקין,37037.02516
670323,אשדוד,37019.81364
731901,ביתר עילית,36908.47074
540377,בני ברק,36887.9843
508093,אור יהודה,36774.10078
611475,מטה בנימין,36642.04976
141309,ירושלים,36560.30465
359067,ירושלים,36538.81249
729053,מגדל העמק,36495.95808
240036,עכו,36441.29899
770768,ירוחם,36406.13107
480087,ראשון לציון,36392.82374
441949,רמלה,36346.7416
521427,דאלית אל-כרמל,36325.15366
270157,בית שאן,36225.35185
340711,רכסים,36219.87586
421198,ראשון לציון,36194.80189
441618,לוד,36142.59263
140269,ירושלים,36133.30266
344580,חיפה,36131.54365
320200,מנשה,36110.88985
519223,כרמיאל,35995.69731
640243,דימונה,35987.09924
644542,נתיבות,35938.85977
585851,עכו,35913.24799
770602,חבל אילות,35858.94489
541565,בני ברק,35688.06377
770222,בני ברק,35654.03321
240440,מעלה אפרים,35559.26656
170043,ירושלים,35555.31202
140277,ירושלים,35543.86126
455188,פתח תקוה,35497.10561
422592,מג'ד אל-כרום,35403.6644
234021,מטה בנימין,35390.57464
144428,מעלה אדומים,35355.34139
648170,נווה מדבר,35328.33416
260240,מטה אשר,35298.83005
260497,מעלה אדומים,35224.56635
771030,מגדל העמק,35043.60776
240812,הגליל התחתון,35017.10273
370312,קרית ביאליק,35005.4035
142166,מטה בנימין,34946.37667
670232,שדרות,34717.48668
442897,קרית שמונה,34715.01139
460253,טמרה,34685.33698
770776,חצור הגלילית,34611.48832
680066,באר טוביה,34571.30305
444364,רחובות,34521.31967
640490,מצפה רמון,34443.63378
344150,חיפה,34426.56953
670414,קרית מלאכי,34400.54911
713743,בקעת הירדן,34218.14137
142281,מטה בנימין,34118.39873
346932,מטה בנימין,34110.66843
470021,רחובות,33980.51158
540187,תל אביב-יפו,33970.62726
140608,ירושלים,33953.90564
540518,תל אביב-יפו,33801.89471
278184,נצרת,33798.57008
640177,באר שבע,33742.49335
140764,אפרתה,33682.70952
260232,הגליל העליון,33631.63684
640649,חוף אשקלון,33622.39802
176057,ירושלים,33548.84545
472555,פתח תקוה,33542.11219
353581,צפת,33537.17366
358648,ירושלים,33421.96007
244624,בית שאן,33409.34363
541656,אור יהודה,33391.43331
510008,אור יהודה,33389.73462
480145,חבל מודיעין,33354.38031
338541,חדרה,33344.32774
141382,ירושלים,33343.31834
725382,קרית מלאכי,33324.34846
140665,קרית ארבע,33323.2928
162057,ירושלים,33319.59881
440206,באר יעקב,33317.78114
640508,ערד,33300.82109
140962,ירושלים,33278.26018
480038,פתח תקוה,33252.1619
470070,פתח תקוה,33246.28861
680033,חוף אשקלון,33243.05078
240697,מגדל העמק,33241.35399
471995,ירושלים,33196.767
141739,בית אל,33190.3591
640151,שדות נגב עזתה,33063.81958
641258,אשקלון,33060.94443
338616,מעלה אדומים,33050.10586
170282,ירושלים,33046.52062
342170,אור עקיבא,32986.2349
440560,חבל יבנה,32923.5569
140848,בית שמש,32867.70052
140871,ירושלים,32852.87955
520262,גבעתיים,32739.0171
640185,שפיר,32715.03359
440073,ראשון לציון,32703.4362
442442,גן רוה,32676.05234
340554,זכרון יעקב,32657.29765
240234,צפת,32654.78479
571158,בת ים,32577.78933
641316,שדות נגב עזתה,32546.26523
860361,עמק הירדן,32473.80367
540039,תל אביב-יפו,32443.54922
410076,יבנה,32438.2567
240465,מעלות-תרשיחא,32429.17567
140038,ירושלים,32345.02761
380022,חוף הכרמל,32299.41903
640078,אשקלון,32238.9998
440362,רחובות,32154.78911
160457,ירושלים,32119.46931
141754,ירושלים,32029.85829
261065,עמק הירדן,31837.12549
640409,קרית גת,31792.09933
441899,נתניה,31733.82949
420240,פתח תקוה,31668.20875
440495,ראש העין,31663.85816
544692,חולון,31633.34394
140913,גוש עציון,31560.18758
144766,מטה בנימין,31516.31133
174391,ירושלים,31508.02956
140970,מטה בנימין,31438.77946
244384,טבריה,31382.74183
247296,ינוח-ג'ת,31314.52004
430678,יבנה,31311.04917
140095,ירושלים,31295.91426
560441,ירושלים,31282.05194
520098,הרצליה,31266.14014
685586,אל קסום,31254.94084
711564,ביתר עילית,31247.79948
353441,נצרת,31188.70377
520411,בית שמש,31144.24434
841213,שדות נגב עזתה,31132.49072
641464,ירושלים,31052.44414
634113,הר חברון,30983.60044
560508,גוש עציון,30970.23484
640631,קרית מלאכי,30970.15233
640656,קרית גת,30951.82569
560722,ירושלים,30886.47525
144592,ירושלים,30879.04599
524157,גן יבנה,30830.1054
640425,נתיבות,30815.50992
260125,מטה אשר,30793.9041
542076,בת ים,30788.01823
441824,לוד,30756.21645
344473,קרית אתא,30748.74662
288134,גני תקוה,30746.41117
244368,כרמיאל,30740.48116
614321,דימונה,30712.86833
440933,עמנואל,30647.90357
344234,עספיא,30613.32479
440297,פתח תקוה,30595.78244
278051,עין מאה'ל,30580.08471
440321,עמק חפר,30578.94993
442244,פתח תקוה,30564.82218
362103,מודיעין עילית,30549.55942
278176,נחף,30540.75835
360222,זבולון,30444.14271
330266,קרית ים,30364.37444
641332,דימונה,30349.23625
670299,באר שבע,30311.05448
240358,מגדל העמק,30301.97657
644807,נתיבות,30299.27027
140731,ירושלים,30285.74423
227694,שלומי,30269.6982
214007,עפולה,30152.57461
144600,בית שמש,30127.04001
191031,מגילות ים המלח,30114.59375
540898,תל אביב-יפו,30057.14168
560524,מטה יהודה,30047.09187
460725,דרום השרון,30032.30229
240093,טבריה,29971.85391
170035,ירושלים,29958.8637
178079,ירושלים,29915.56518
240077,נוף הגליל,29879.28113
771105,תמר,29874.54023
141168,ירושלים,29864.37047
240127,בית שאן,29853.17943
340240,חיפה,29845.65297
260059,עמק המעיינות,29816.96831
640045,באר שבע,29806.64103
476796,ביתר עילית,29798.73152
641233,ירוחם,29761.06375
240085,נהריה,29747.37047
348185,ג'ת,29735.34312
644666,דימונה,29730.61073
640532,שפיר,29717.93617
160580,גוש עציון,29715.11384
530683,הרצליה,29701.28825
344101,חיפה,29643.96943
542035,תל אביב-יפו,29563.36323
770495,ירושלים,29533.29282
340380,קרית מוצקין,29529.08671
270801,צפת,29521.13467
240192,מגדל העמק,29478.77815
640029,קרית גת,29475.87034
244517,מגדל העמק,29471.02803
641324,ירוחם,29427.84757
141028,גוש עציון,29381.00168
340018,חיפה,29242.03754
540161,תל אביב-יפו,29203.35349
280115,הגליל העליון,29192.05187
144691,ירושלים,29182.43369
170092,ירושלים,29162.06333
644849,באר שבע,29160.99383
140046,ירושלים,29159.51147
440487,אשדוד,29109.67164
442426,פתח תקוה,29107.8298
199919,ירושלים,29061.60576
248831,מג'ד אל-כרום,29058.43642
530287,תל אביב-יפו,29054.81495
141010,ירושלים,29048.02227
278234,מג'ד אל-כרום,29032.20153
640235,קרית גת,29009.5138
444943,יהוד נווה אפרים,28990.88577
141390,ירושלים,28970.13189
540369,בת ים,28970.07285
340125,קרית אתא,28968.68388
644328,באר שבע,28952.77539
430314,ראש העין,28918.43439
471037,לוד,28895.13651
270025,צפת,28888.48062
142034,בית שמש,28834.89243
140491,ירושלים,28832.6832
770057,אופקים,28820.80134
470138,הוד השרון,28819.91163
244111,מעלות-תרשיחא,28819.7897
338384,פרדס חנה-כרכור,28798.22642
441865,פתח תקוה,28754.55527
378042,כפר קרע,28741.77776
176487,ירושלים,28683.43728
508101,אור יהודה,28656.6722
142372,ירושלים,28642.39618
280032,עפולה,28635.64625
441063,שדות דן,28635.56296
238014,נצרת,28479.36689
278044,שפרעם,28457.83889
441378,רמלה,28433.53806
441667,כפר סבא,28417.20324
480178,באר יעקב,28408.16319
640318,שדרות,28394.04114
460642,רמלה,28388.05842
670422,קרית מלאכי,28371.85063
660498,הערבה התיכונה,28346.43279
470583,פתח תקוה,28314.59349
540328,הרצליה,28266.29847
644823,אשדוד,28263.96591
280065,הגליל התחתון,28202.9388
640680,קרית מלאכי,28201.48561
160242,ירושלים,28193.42841
519090,ערערה בנגב,28183.60662
140087,ירושלים,28181.84706
550004,אשכול,28175.67099
141994,ירושלים,28173.62173
244210,טבריה,28169.93429
168419,ירושלים,28135.35028
238527,בית שמש,28124.80818
541680,בני ברק,28110.28945
260489,מעלה יוסף,28106.05292
460691,מעלות-תרשיחא,28100.54753
770552,באר שבע,28096.11273
644708,באר שבע,28070.76255
440925,אריאל,28026.34556
460576,לוד,28005.12257
442434,אלעד,27963.55631
340232,חיפה,27940.77241
800003,זמר,27936.82497
248740,טמרה,27910.15371
641399,קרית גת,27905.96508
770859,עכו,27905.45875
140137,ירושלים,27903.73904
240010,קרית שמונה,27876.75911
340109,מנשה,27874.62038
540120,תל אביב-יפו,27850.98825
660324,אשכול,27770.35273
288019,ראמה,27765.04192
640128,אשדוד,27761.00766
348334,פוריידיס,27744.65825
541268,רמת גן,27739.95145
180034,מטה יהודה,27731.46354
540674,בת ים,27728.02891
519363,ירכא,27727.60392
340737,חיפה,27692.99524
571174,בת ים,27647.72876
244343,משגב,27639.9573
353599,בית שמש,27639.28468
420448,כפר סבא,27618.62401
721175,בית שמש,27545.69975
441972,כפר סבא,27516.15049
278275,טמרה,27506.73213
230276,מגדל העמק,27505.44
193185,בית שמש,27458.14857
544700,חולון,27445.83669
541169,הרצליה,27442.88439
225128,מבואות החרמון,27438.49073
741280,ירושלים,27392.8125
240176,עמק יזרעאל,27390.46256
140889,קרית ארבע,27320.02032
160416,ירושלים,27312.69233
442384,רעננה,27279.91105
540294,חולון,27263.10694
247213,סאג'ור,27255.43605
640482,אשדוד,27252.50997
328062,אום אל-פחם,27213.58421
460667,בית שמש,27211.43276
186908,מטה בנימין,27193.42393
160648,ירושלים,27175.89771
378075,חיפה,27163.30975
247072,עילבון,27158.87482
644344,קרית גת,27155.30958
248088,טמרה,27148.84573
770750,חולון,27121.3203
378117,ראמה,27110.59278
171017,ירושלים,27100.70153
344598,אור עקיבא,27063.09017
640227,ערד,27042.11765
440446,ירושלים,27033.8335
247098,גוש חלב,27023.96791
570713,בת ים,27004.41984
248419,פקיעין - בוקייעה,26979.61645
719724,חדרה,26968.20101
374199,ג'סר א-זרקא,26966.14911
248062,מעלות-תרשיחא,26952.00187
141176,מעלה אדומים,26926.65043
144220,ירושלים,26926.26421
540385,בני ברק,26917.06665
540690,תל אביב-יפו,26871.31363
641415,ירושלים,26843.04485
247817,מסעדה,26810.80131
420166,רחובות,26757.56951
430488,כפר סבא,26707.02732
470591,פתח תקוה,26684.29298
460436,ירושלים,26682.12436
470187,נתניה,26655.61026
244285,כרמיאל,26653.79593
242073,נוף הגליל,26648.92672
541789,קרית אונו,26629.3904
640003,אשדוד,26618.48964
476903,בית שמש,26615.28722
141101,מטה בנימין,26611.44437
441832,פתח תקוה,26583.98613
660084,חוף אשקלון,26575.52077
340653,חדרה,26571.46178
640052,אילת,26543.29011
344440,אור עקיבא,26522.25185
800086,כפר קאסם,26517.90478
641084,באר שבע,26497.64524
470047,רמלה,26481.90181
542027,אור יהודה,26436.12572
470112,כפר סבא,26402.99475
249094,כאבול,26370.40435
640391,אשכול,26355.91029
770941,רמת נגב,26329.31536
144337,בית אל,26326.54373
260307,הגליל העליון,26320.44188
540534,רמת גן,26305.48565
248013,כפר יאסיף,26296.46276
540179,תל אביב-יפו,26292.89938
641142,באר שבע,26263.61346
440909,קדומים,26260.61601
344200,חדרה,26250.46535
571224,בת ים,26223.22419
444026,גדרה,26211.94644
541532,חולון,26203.35794
739045,פרדס חנה-כרכור,26195.3155
340174,חיפה,26190.37457
670067,אשקלון,26172.2692
247387,ירכא,26165.40942
453605,נתניה,26160.93074
640193,באר שבע,26148.06576
248328,יפיע,26126.71141
644435,מצפה רמון,26066.83617
160259,ירושלים,26064.10978
560250,בית שמש,26062.71679
347054,דאלית אל-כרמל,26056.04699
660365,שדות נגב עזתה,26009.14636
640821,אשדוד,26008.92959
140129,ירושלים,26001.32945
441584,לוד,25968.2329
471029,נתניה,25964.60865
140863,מעלה אדומים,25962.76512
440040,רחובות,25946.50589
