school,city,average badget,per student
140939,מטה בנימין,11734551.03,23725.33568
440388,כפר סבא,11707156.73,23173.31102
460154,נחל שורק,11692182.94,23639.67437
420018,מטה יהודה,11678568.11,20086.97645
421032,רחובות,11646067.33,136690.9311
420190,רמלה,11642574.09,109217.3929
544080,רמת השרון,11629324.07,16878.55453
544312,הרצליה,11611329.79,21638.70627
440784,ירושלים,11604298.23,13867.46921
440990,ראש העין,11590429.2,25395.33129
620013,אשקלון,11546761.59,125508.2781
247320,אום אל-פחם,11526221.88,39745.59269
248427,ריינה,11518553.14,19140.16806
444729,כפר סבא,11514273.62,15952.16628
244103,כרמיאל,11480720.53,41992.39404
320515,זבולון,11470148.88,87026.92624
140491,ירושלים,11452341.77,28832.6832
540591,גבעתיים,11452207.82,20627.17546
431205,נתניה,11443141.9,49839.46821
344374,קרית מוצקין,11434378.88,18454.45268
249219,בוקעאתה,11422443.1,22681.57884
349027,ג'ת,11397081.19,16065.80377
444109,פתח תקוה,11393923.52,17347.63021
520205,תל אביב-יפו,11389315.07,99210.06158
247254,כאבול,11388569.2,17783.52467
444901,פתח תקוה,11362165.7,18981.23237
640151,שדות נגב עזתה,11360728.41,33063.81958
618686,חורה,11354248.21,84606.91662
420265,נס ציונה,11328264.42,56136.09723
448316,ג'לג'וליה,11326005.08,18751.66405
338012,ירושלים,11304504.59,132061.9695
378075,חיפה,11294504.2,27163.30975
444059,כפר סבא,11294037.5,15970.07564
220491,מטה אשר,11283843.87,134652.0749
370254,טירת כרמל,11261466.58,38566.66637
540435,חולון,11245616.44,17174.12407
128041,ירושלים,11243900.65,118606.5469
575001,שפרעם,11239675.99,39716.16959
566893,נתניה,11148918.31,17640.69353
140137,ירושלים,11139172.63,27903.73904
440883,אלקנה,11122509.2,24012.32557
448183,טירה,11121028.51,18448.9524
571158,בת ים,11115541.72,32577.78933
440487,אשדוד,11102428.76,29109.67164
644807,נתיבות,11095592.77,30299.27027
444034,חוף השרון,11082363.37,40037.43991
428037,טירה,11080749.52,112838.5898
247304,כפר כנא,11058851.3,18929.90636
566901,נתניה,11050836.79,17910.59447
420109,נתניה,11048440.21,93000.33845
421115,ראשון לציון,11044419.72,133709.6819
148163,ירושלים,11044057.27,13631.27285
480004,עמק חפר,11027853.26,70062.60011
441980,שומרון,11022731.51,25539.22964
344028,חיפה,11005119.45,82994.86767
370486,חדרה,11002299.94,49694.21834
540302,חולון,10993153.93,24604.19412
770230,עמק חפר,10984921.97,66737.07151
448118,טירה,10980838.81,18430.41089
248252,דיר חנא,10979341.88,18533.66286
420471,רחובות,10971284.68,123829.3982
448209,טייבה,10961555.21,17881.81926
448175,קלנסווה,10956811.71,17424.95501
421149,פתח תקוה,10944804.37,139246.875
338392,יקנעם עילית,10929925.67,20648.47419
160242,ירושלים,10916495.48,28193.42841
640631,קרית מלאכי,10882911.53,30970.15233
648089,תל שבע,10875208.85,22358.57082
540187,תל אביב-יפו,10863806.6,33970.62726
470112,כפר סבא,10856911.44,26402.99475
238121,בית שמש,10854257.58,25360.41491
240739,צפת,10849811.73,25882.18447
440040,רחובות,10840450.16,25946.50589
540021,גבעתיים,10834123.19,19189.02442
249268,שפרעם,10807073.57,21814.84371
249169,טמרה,10785373.39,19028.53457
444463,נס ציונה,10763707.85,18468.95649
448050,ג'לג'וליה,10759082.71,22002.21413
348235,אום אל-פחם,10750949.71,20778.79727
247163,דיר חנא,10714164.44,22718.75411
328096,באקה אל-גרביה,10700017.91,112869.3873
248070,שפרעם,10688067.03,23751.26007
384016,כפר קרע,10679855.92,17991.67102
141689,מודיעין עילית,10679633.58,13532.22704
146878,ירושלים,10653535.2,133838.3819
421180,גזר,10649649.76,84521.02983
540369,בת ים,10614634.69,28970.07285
120121,ירושלים,10603777.67,116525.0293
420083,נס ציונה,10589504.55,124289.9595
410225,צורן קדימה,10575171.87,22596.52108
544494,רמת גן,10571641.01,19519.27809
444877,הוד השרון,10548081.76,14678.65538
544072,רמת השרון,10518187.35,15467.92257
520635,תל אביב-יפו,10495310.12,134555.2579
247841,כפר יאסיף,10492223.65,18323.82754
442822,מטה יהודה,10488390.76,21283.26047
440347,נתניה,10472595.42,23251.76603
247031,נצרת,10451178.83,22919.25181
120154,ירושלים,10436645.54,88446.14864
540161,תל אביב-יפו,10431437.87,29203.35349
470070,פתח תקוה,10419386.85,33246.28861
627000,רהט,10411426.93,92793.46637
249045,נצרת,10405509.79,18735.16347
648279,נווה מדבר,10376663.29,23172.53973
541474,בני ברק,10366119.53,16314.32094
520221,תל אביב-יפו,10342427.9,116207.0551
247213,סאג'ור,10335261.35,27255.43605
278184,נצרת,10328843.02,33798.57008
141853,ירושלים,10308586.5,19560.8852
800110,דאלית אל-כרמל,10305843.4,21066.72813
570606,תל אביב-יפו,10303723.75,20124.46044
444224,הוד השרון,10293145.18,14591.92682
370569,נהריה,10282547.43,48049.28705
440370,רעננה,10256624.35,24643.49916
144220,ירושלים,10248136.16,26926.26421
247262,כפר כנא,10232615.22,18207.5004
640185,שפיר,10226719.5,32715.03359
144337,בית אל,10225229.58,26326.54373
540468,ריינה,10203078.51,17334.48609
525923,חולון,10198412.02,105573.6234
170399,ירושלים,10195917.6,18246.09448
140269,ירושלים,10182364.69,36133.30266
247189,דייר אל-אסד,10176999.45,18783.68301
